,Date,Volume,Turnover,Open,High,Low,Close
0,107/01/02,"18,055,269","4,188,555,408",231.50,232.50,231.00,232.50
1,107/01/03,"31,706,091","7,504,382,512",236.00,238.00,235.50,237.00
2,107/01/04,"29,179,613","6,963,192,636",240.00,240.00,236.50,239.50
3,107/01/05,"23,721,255","5,681,934,695",240.00,240.00,238.00,240.00
4,107/01/08,"21,846,692","5,281,823,362",242.00,242.50,240.50,242.00
5,107/01/09,"19,043,123","4,588,314,012",242.00,242.00,239.50,242.00
6,107/01/10,"25,716,220","6,118,683,273",241.50,242.00,236.00,236.50
7,107/01/11,"32,070,338","7,500,674,455",235.00,236.00,232.50,235.00
8,107/01/12,"23,141,291","5,463,302,207",234.50,238.00,233.50,237.00
9,107/01/15,"28,576,533","6,832,851,887",240.00,240.00,238.00,240.00
10,107/01/16,"23,407,632","5,609,009,540",240.00,240.50,238.00,240.50
11,107/01/17,"38,118,119","9,207,582,787",240.50,243.00,239.00,242.00
12,107/01/18,"50,119,952","12,406,562,364",245.00,250.00,245.00,248.50
13,107/01/19,"55,061,292","13,975,174,348",253.50,255.50,251.50,255.50
14,107/01/22,"45,907,509","11,934,882,643",257.50,262.00,257.00,261.50
15,107/01/23,"34,606,444","9,155,080,569",262.50,266.00,262.50,266.00
16,107/01/24,"42,600,813","11,022,372,004",263.00,263.00,256.50,258.00
17,107/01/25,"46,214,756","11,981,089,514",258.00,264.00,256.50,258.00
18,107/01/26,"43,514,523","11,101,977,348",256.50,257.50,253.50,255.00
19,107/01/29,"31,306,234","8,067,780,117",259.00,261.50,255.00,258.50
20,107/01/30,"37,410,591","9,523,980,994",256.00,257.50,252.50,253.00
21,107/01/31,"45,807,808","11,670,582,000",253.00,257.50,252.00,255.00
0,107/02/01,"30,900,457","8,022,694,430",257.50,261.00,257.00,259.50
1,107/02/02,"25,707,560","6,633,344,540",259.00,260.00,255.00,259.50
2,107/02/05,"46,554,379","11,742,299,859",251.00,254.50,250.50,253.00
3,107/02/06,"104,448,048","24,944,565,955",242.50,243.50,234.00,239.00
4,107/02/07,"82,299,178","19,903,032,966",245.00,245.50,239.50,240.00
5,107/02/08,"31,192,550","7,468,970,072",239.50,242.00,238.00,238.50
6,107/02/09,"65,939,265","15,227,192,540",230.00,233.00,228.50,232.50
7,107/02/12,"42,917,236","10,113,012,768",235.50,237.50,235.00,236.50
8,107/02/21,"76,396,174","18,582,475,956",244.50,244.50,242.00,242.50
9,107/02/22,"45,492,993","10,977,665,819",244.00,244.00,239.00,239.50
10,107/02/23,"26,985,776","6,578,657,620",241.00,245.00,241.00,245.00
11,107/02/26,"36,165,810","8,910,352,170",247.00,247.50,245.00,246.50
12,107/02/27,"44,699,119","11,061,945,363",250.50,250.50,246.00,246.00
0,107/03/01,"43,847,984","10,669,194,561",244.00,245.00,242.00,243.00
1,107/03/02,"35,289,170","8,453,712,014",240.00,241.00,238.50,240.00
2,107/03/05,"27,337,846","6,607,367,732",242.50,243.00,240.50,241.50
3,107/03/06,"36,945,780","9,155,812,210",245.50,250.00,245.50,250.00
4,107/03/07,"30,391,219","7,525,601,638",248.00,248.50,246.00,247.00
5,107/03/08,"20,645,694","5,172,732,531",249.50,251.50,249.00,249.50
6,107/03/09,"22,887,063","5,723,277,170",250.00,251.00,248.50,250.50
7,107/03/12,"25,100,615","6,370,529,728",252.00,255.00,251.50,254.00
8,107/03/13,"34,264,883","8,816,553,606",255.50,259.00,255.00,259.00
9,107/03/14,"24,254,838","6,220,805,864",256.50,257.50,255.50,257.00
10,107/03/15,"19,396,493","4,965,546,715",258.00,258.00,255.00,255.00
11,107/03/16,"62,989,326","15,930,805,360",253.00,256.00,249.50,255.00
12,107/03/19,"22,440,766","5,679,567,964",252.50,255.50,251.00,255.00
13,107/03/20,"22,335,151","5,640,426,203",253.00,254.00,251.50,253.00
14,107/03/21,"32,977,737","8,325,162,114",255.00,255.00,251.00,252.50
15,107/03/22,"27,000,718","6,797,045,014",254.50,254.50,249.50,251.50
16,107/03/23,"52,974,390","12,994,667,867",245.00,247.00,244.00,245.00
17,107/03/26,"39,487,945","9,582,954,454",241.50,244.50,241.50,243.50
18,107/03/27,"31,100,260","7,732,298,021",248.00,251.00,247.00,251.00
19,107/03/28,"29,924,411","7,349,468,217",247.50,248.00,244.00,245.00
20,107/03/29,"36,427,345","8,888,435,870",243.00,247.00,242.50,244.00
21,107/03/30,"16,996,346","4,212,690,462",247.50,249.50,246.00,246.00
22,107/03/31,"3,603,912","893,664,176",247.50,249.00,246.50,247.50
0,107/04/02,"19,029,003","4,702,581,241",248.50,249.00,245.00,246.50
1,107/04/03,"35,813,944","8,710,200,224",243.00,244.50,242.00,244.00
2,107/04/09,"35,465,824","8,716,801,768",248.00,248.00,243.50,245.00
3,107/04/10,"25,268,994","6,231,896,018",244.50,249.00,243.50,245.50
4,107/04/11,"21,777,935","5,391,978,180",246.50,248.50,246.50,248.00
5,107/04/12,"20,476,657","5,028,226,522",248.50,248.50,244.00,245.00
6,107/04/13,"19,946,548","4,885,963,546",246.00,246.00,244.00,244.50
7,107/04/16,"21,608,528","5,251,556,179",243.00,244.00,242.00,243.50
8,107/04/17,"42,756,389","10,232,256,860",243.00,243.50,237.50,238.00
9,107/04/18,"44,768,048","10,668,587,090",239.50,241.50,236.50,238.00
10,107/04/19,"33,230,989","8,081,404,960",242.00,244.50,241.00,244.50
11,107/04/20,"129,890,087","29,837,344,632",228.00,231.50,228.00,229.00
12,107/04/23,"71,901,975","16,282,275,410",226.50,227.50,225.00,226.50
13,107/04/24,"45,206,892","10,233,860,296",225.00,227.50,225.00,227.00
14,107/04/25,"48,975,110","11,032,111,105",225.50,226.00,224.00,225.00
15,107/04/26,"48,176,657","10,766,085,521",225.00,225.50,221.00,222.00
16,107/04/27,"34,443,459","7,679,131,764",225.00,225.50,221.00,223.50
17,107/04/30,"28,500,789","6,448,117,416",224.50,228.00,222.50,227.00
0,107/05/02,"38,436,942","8,633,492,540",227.00,227.50,222.50,223.00
1,107/05/03,"33,507,731","7,399,813,831",221.00,222.50,220.00,220.50
2,107/05/04,"28,477,722","6,330,594,053",221.00,224.00,220.50,223.00
3,107/05/07,"23,751,759","5,309,421,525",225.00,225.50,221.50,223.50
4,107/05/08,"40,324,763","9,146,327,464",224.00,228.50,223.50,228.00
5,107/05/09,"35,597,934","8,188,991,070",228.50,232.00,228.50,229.50
6,107/05/10,"27,530,377","6,337,230,710",231.00,231.50,229.00,229.50
7,107/05/11,"30,693,910","7,138,428,530",232.00,234.00,230.50,233.00
8,107/05/14,"23,577,637","5,502,726,121",234.50,234.50,232.50,233.00
9,107/05/15,"23,771,769","5,493,470,187",233.50,234.00,229.50,230.50
10,107/05/16,"14,834,107","3,408,682,013",229.50,230.50,228.50,230.50
11,107/05/17,"27,702,737","6,322,484,836",231.00,231.50,226.50,226.50
12,107/05/18,"28,187,541","6,327,474,145",225.50,227.50,223.50,223.50
13,107/05/21,"16,417,815","3,751,438,835",225.00,230.00,225.00,229.00
14,107/05/22,"22,422,097","5,175,634,112",230.00,233.50,229.00,229.00
15,107/05/23,"26,737,899","6,146,178,621",231.50,231.50,228.50,228.50
16,107/05/24,"13,450,610","3,082,675,140",229.50,230.00,228.50,229.00
17,107/05/25,"16,486,294","3,769,909,946",228.50,229.50,228.00,228.50
18,107/05/28,"17,673,270","4,020,203,060",229.50,230.00,226.50,227.00
19,107/05/29,"25,770,776","5,782,293,276",226.50,226.50,223.50,225.00
20,107/05/30,"49,667,788","10,997,306,304",224.00,224.00,220.50,221.00
21,107/05/31,"96,587,458","21,553,655,265",221.50,224.00,220.50,224.00
0,107/06/01,"36,652,094","8,209,412,370",224.50,226.50,224.00,224.00
1,107/06/04,"31,257,480","7,131,988,670",227.50,229.00,227.00,229.00
2,107/06/05,"27,714,384","6,329,201,896",230.00,230.00,226.50,229.00
3,107/06/06,"30,375,441","6,961,135,060",229.00,230.00,227.00,230.00
4,107/06/07,"25,277,266","5,809,345,446",231.00,231.50,228.00,230.00
5,107/06/08,"24,192,851","5,493,234,408",229.00,229.00,226.00,227.00
6,107/06/11,"22,028,933","4,980,629,259",226.50,227.00,225.00,226.00
7,107/06/12,"30,189,360","6,837,374,510",225.00,229.00,224.00,229.00
8,107/06/13,"36,081,120","8,311,856,296",229.00,232.00,228.00,232.00
9,107/06/14,"36,932,041","8,423,126,398",230.00,230.00,226.50,226.50
10,107/06/15,"49,506,679","11,291,127,719",225.00,231.00,224.00,231.00
11,107/06/19,"61,142,624","13,754,800,554",225.50,226.00,224.00,225.00
12,107/06/20,"40,708,701","9,175,159,127",224.50,227.50,223.50,226.00
13,107/06/21,"32,572,707","7,379,769,339",227.50,228.00,226.00,226.50
14,107/06/22,"44,211,409","9,994,644,852",224.50,227.50,224.00,227.50
15,107/06/25,"49,058,211","10,749,795,782",220.00,220.50,218.00,218.00
16,107/06/26,"43,080,346","9,242,648,746",215.50,216.00,212.50,214.50
17,107/06/27,"40,863,414","8,742,004,301",216.00,216.00,212.50,213.00
18,107/06/28,"38,816,780","8,231,075,920",211.00,214.50,210.00,212.00
19,107/06/29,"36,848,680","7,919,779,720",212.00,217.00,212.00,216.50
0,107/07/02,"33,496,442","7,257,081,470",218.50,219.00,214.00,214.00
1,107/07/03,"28,663,220","6,173,115,899",215.50,218.00,213.50,214.50
2,107/07/04,"15,359,295","3,324,927,032",217.00,217.50,215.50,216.00
3,107/07/05,"18,225,416","3,904,832,940",214.00,215.00,213.00,214.50
4,107/07/06,"31,344,962","6,779,063,394",217.50,217.50,215.00,217.00
5,107/07/09,"41,165,793","9,100,880,393",219.50,223.00,218.50,221.50
6,107/07/10,"20,196,957","4,498,264,914",223.00,224.00,222.00,222.00
7,107/07/11,"19,854,690","4,355,547,100",220.00,220.00,218.00,220.00
8,107/07/12,"23,806,051","5,246,628,771",218.00,222.00,218.00,220.50
9,107/07/13,"30,419,311","6,799,894,334",222.50,224.50,222.50,224.50
10,107/07/16,"16,107,254","3,612,296,896",224.50,225.00,223.50,223.50
11,107/07/17,"22,554,436","5,003,028,272",222.50,223.50,221.00,221.50
12,107/07/18,"45,802,658","10,221,407,834",223.00,224.00,222.00,223.00
13,107/07/19,"43,976,216","9,930,715,930",225.50,227.00,224.50,224.50
14,107/07/20,"103,652,023","24,367,904,428",235.00,237.50,233.00,237.50
15,107/07/23,"52,269,877","12,621,500,480",239.00,245.00,238.50,241.00
16,107/07/24,"27,468,267","6,599,675,515",240.00,241.50,238.50,241.00
17,107/07/25,"21,530,312","5,173,924,310",239.00,241.00,239.00,240.50
18,107/07/26,"30,856,388","7,435,261,120",241.00,242.50,239.50,241.00
19,107/07/27,"27,129,646","6,605,479,210",242.00,244.50,241.00,244.50
20,107/07/30,"22,803,730","5,585,710,909",244.50,245.50,244.00,245.50
21,107/07/31,"28,202,542","6,912,550,610",243.50,246.00,242.00,246.00
0,107/08/01,"29,777,161","7,375,488,342",247.00,248.00,246.50,248.00
1,107/08/02,"22,775,110","5,611,725,541",249.00,249.50,243.50,244.50
2,107/08/03,"25,165,097","6,205,758,662",246.00,248.00,245.00,247.00
3,107/08/06,"22,364,568","5,487,396,854",245.00,247.00,244.00,245.50
4,107/08/07,"24,352,418","5,922,738,042",245.00,245.50,241.50,241.50
5,107/08/08,"24,382,432","6,011,480,272",245.00,247.50,244.50,247.50
6,107/08/09,"15,128,655","3,740,736,404",247.00,248.00,246.00,247.00
7,107/08/10,"16,125,492","3,961,311,040",246.50,247.00,244.50,245.00
8,107/08/13,"17,881,194","4,302,280,285",241.50,243.00,239.00,240.50
9,107/08/14,"17,488,913","4,262,753,253",245.00,245.00,242.50,243.50
10,107/08/15,"19,236,321","4,642,117,523",244.50,244.50,239.50,241.50
11,107/08/16,"19,155,966","4,587,260,340",238.00,241.50,238.00,239.00
12,107/08/17,"19,634,474","4,707,354,383",239.50,241.00,239.00,239.50
13,107/08/20,"17,014,437","4,068,729,103",239.50,240.00,238.00,239.50
14,107/08/21,"13,871,127","3,328,215,657",239.00,241.00,238.50,241.00
15,107/08/22,"12,679,240","3,063,201,922",241.50,242.50,240.50,242.00
16,107/08/23,"17,216,240","4,200,671,070",243.00,244.50,243.00,244.50
17,107/08/24,"15,446,943","3,772,959,070",245.50,246.00,243.00,243.50
18,107/08/27,"15,579,299","3,825,736,755",246.00,246.50,244.50,245.00
19,107/08/28,"40,410,531","10,075,613,779",248.50,250.00,248.00,249.50
20,107/08/29,"57,633,182","14,784,556,456",253.50,259.00,253.50,259.00
21,107/08/30,"52,622,808","13,914,404,873",264.50,268.00,262.50,263.50
22,107/08/31,"70,000,506","17,920,548,387",257.50,259.00,254.00,256.00
0,107/09/03,"34,510,555","8,901,193,266",259.00,260.00,256.50,257.00
1,107/09/04,"41,455,615","10,654,493,061",258.50,259.50,255.50,257.50
2,107/09/05,"52,706,459","13,833,360,422",260.00,264.50,259.00,264.00
3,107/09/06,"39,779,488","10,467,251,488",268.00,268.00,261.00,261.00
4,107/09/07,"44,746,728","11,753,033,262",263.00,264.00,260.50,264.00
5,107/09/10,"62,851,599","16,669,866,076",266.50,266.50,262.50,264.50
6,107/09/11,"44,981,276","11,709,484,991",263.00,263.50,258.00,260.00
7,107/09/12,"38,415,965","9,987,682,900",261.00,262.00,258.00,260.50
8,107/09/13,"37,959,180","9,721,989,110",260.00,260.00,253.50,255.00
9,107/09/14,"40,034,219","10,379,404,959",257.00,261.50,257.00,261.00
10,107/09/17,"25,041,358","6,483,537,091",262.50,262.50,257.00,258.00
11,107/09/18,"34,381,152","8,771,502,830",256.50,257.00,254.00,254.50
12,107/09/19,"69,978,711","18,074,954,749",258.00,260.00,257.00,258.00
13,107/09/20,"35,577,071","9,225,009,310",261.50,261.50,257.50,260.00
14,107/09/21,"36,500,974","9,510,363,894",261.50,261.50,258.00,261.50
15,107/09/25,"24,978,062","6,552,894,296",261.50,264.00,260.50,263.50
16,107/09/26,"25,061,115","6,577,367,245",263.00,263.50,261.00,263.50
17,107/09/27,"38,495,371","10,185,827,315",264.00,266.00,262.00,265.00
18,107/09/28,"39,645,486","10,412,455,506",266.00,266.00,260.00,262.50
0,107/10/01,"22,409,380","5,882,532,290",262.00,264.00,261.00,263.00
1,107/10/02,"38,391,491","9,926,505,357",262.00,263.00,257.00,257.50
2,107/10/03,"25,228,536","6,527,393,860",257.50,260.00,257.00,260.00
3,107/10/04,"38,009,727","9,690,178,362",257.00,257.50,254.00,254.00
4,107/10/05,"40,396,660","10,101,451,270",250.00,253.00,248.50,250.00
5,107/10/08,"51,083,958","12,426,290,240",245.50,246.50,241.00,243.50
6,107/10/09,"28,933,345","7,051,600,725",243.50,245.00,242.00,244.00
7,107/10/11,"96,033,657","22,115,862,239",233.50,233.50,227.00,227.50
8,107/10/12,"54,439,769","12,650,322,522",231.00,237.00,229.00,237.00
9,107/10/15,"46,471,280","10,766,953,220",234.00,234.00,230.50,230.50
10,107/10/16,"39,129,077","9,155,829,047",229.50,237.00,229.00,237.00
11,107/10/17,"42,887,858","10,318,955,161",241.50,243.00,238.00,238.50
12,107/10/18,"27,793,430","6,587,887,632",238.00,239.00,235.50,236.50
13,107/10/19,"29,648,460","6,927,405,460",231.00,236.50,230.00,236.00
14,107/10/22,"29,275,777","6,872,467,149",232.50,238.00,231.50,237.00
15,107/10/23,"36,757,745","8,538,586,595",232.00,234.00,230.00,230.00
16,107/10/24,"45,480,950","10,426,514,872",230.00,231.00,227.00,229.50
17,107/10/25,"75,524,118","16,643,542,368",220.50,222.00,219.50,219.50
18,107/10/26,"54,073,644","11,941,421,696",223.00,224.00,217.00,221.00
19,107/10/29,"18,463,792","4,107,663,616",223.00,224.00,221.00,222.50
20,107/10/30,"29,085,931","6,487,213,284",221.00,225.00,220.50,223.00
21,107/10/31,"59,933,201","13,844,478,353",228.00,234.00,228.00,234.00
0,107/11/01,"44,514,797","10,480,329,245",236.00,237.00,233.00,235.50
1,107/11/02,"30,785,361","7,249,667,833",236.50,236.50,233.50,236.50
2,107/11/05,"28,157,065","6,592,130,635",233.00,235.50,232.00,235.00
3,107/11/06,"35,501,176","8,311,988,968",234.00,235.50,232.50,234.50
4,107/11/07,"39,842,652","9,337,023,278",233.00,236.00,232.50,234.00
5,107/11/08,"28,086,146","6,645,771,069",237.50,237.50,236.00,236.50
6,107/11/09,"23,792,081","5,526,997,792",234.50,234.50,231.00,231.00
7,107/11/12,"26,202,445","6,101,377,163",230.00,234.50,230.00,231.50
8,107/11/13,"37,565,127","8,504,691,960",224.50,228.00,224.50,227.50
9,107/11/14,"24,565,279","5,639,284,241",230.00,231.00,228.50,228.50
10,107/11/15,"22,230,228","5,124,189,444",229.50,232.00,228.50,231.00
11,107/11/16,"47,138,909","10,696,822,542",229.00,229.00,225.00,226.00
12,107/11/19,"51,034,754","11,355,347,628",225.00,225.00,221.00,222.00
13,107/11/20,"45,686,756","9,995,960,780",219.00,220.50,218.00,218.00
14,107/11/21,"38,478,343","8,361,178,460",214.50,220.00,214.00,219.00
15,107/11/22,"22,060,610","4,867,686,945",221.50,222.00,219.00,219.00
16,107/11/23,"15,553,334","3,406,422,046",220.50,220.50,217.00,218.50
17,107/11/26,"35,267,804","7,847,501,792",219.00,224.00,218.50,223.00
18,107/11/27,"32,676,349","7,239,283,641",220.00,224.50,219.00,224.00
19,107/11/28,"24,759,026","5,560,623,349",222.50,227.00,222.00,226.50
20,107/11/29,"46,206,207","10,629,450,003",231.50,231.50,229.00,229.00
21,107/11/30,"57,352,957","12,995,823,319",229.50,231.00,225.50,225.50
0,107/12/03,"49,612,186","11,579,966,474",231.00,235.00,231.00,235.00
1,107/12/04,"41,947,162","9,791,147,799",233.00,234.50,231.00,234.00
2,107/12/05,"45,634,576","10,316,394,736",226.50,227.50,225.00,226.00
3,107/12/06,"40,181,112","8,853,295,746",220.00,222.00,219.50,220.00
4,107/12/07,"31,997,568","7,097,739,916",222.50,223.50,220.50,221.00
5,107/12/10,"26,229,461","5,744,814,170",219.50,220.00,218.50,219.00
6,107/12/11,"27,395,220","6,067,551,383",220.00,223.00,219.00,222.50
7,107/12/12,"32,926,379","7,418,108,779",223.50,227.00,222.50,226.50
8,107/12/13,"32,433,141","7,345,479,366",227.00,227.50,225.00,226.00
9,107/12/14,"43,226,159","9,570,070,114",223.00,223.50,220.50,222.50
10,107/12/17,"18,964,952","4,229,977,248",221.00,225.00,220.00,223.50
11,107/12/18,"30,270,541","6,713,448,829",221.00,223.00,220.50,222.50
12,107/12/19,"23,415,082","5,255,393,450",222.00,225.50,222.00,225.50
13,107/12/20,"38,697,116","8,573,665,030",221.00,222.50,221.00,221.00
14,107/12/21,"46,947,532","10,401,202,852",219.00,224.00,219.00,223.50
15,107/12/22,"5,185,247","1,145,814,834",220.00,221.50,220.00,221.50
16,107/12/24,"23,376,100","5,151,549,100",221.50,221.50,219.50,220.00
17,107/12/25,"19,402,777","4,198,767,163",215.50,218.00,215.00,217.50
18,107/12/26,"16,893,259","3,678,108,462",218.50,219.50,216.00,216.50
19,107/12/27,"21,915,484","4,874,845,852",222.00,224.00,220.50,223.00
20,107/12/28,"30,156,773","6,762,447,425",223.50,225.50,222.50,225.50
0,108/01/02,"32,900,482","7,276,419,230",226.50,226.50,219.00,219.50
1,108/01/03,"34,615,620","7,459,051,790",214.00,218.00,214.00,215.50
2,108/01/04,"67,043,521","13,987,136,785",211.50,211.50,206.50,208.00
3,108/01/07,"35,695,176","7,591,116,569",212.00,214.00,211.00,213.00
4,108/01/08,"23,794,481","5,019,703,557",212.00,212.50,210.00,211.00
5,108/01/09,"51,255,446","11,006,827,093",212.00,216.50,211.00,215.50
6,108/01/10,"20,832,593","4,491,377,349",216.00,216.50,214.50,216.00
7,108/01/11,"28,658,288","6,296,719,320",219.00,220.50,218.00,220.50
8,108/01/14,"17,612,296","3,844,735,324",218.50,220.00,217.00,218.50
9,108/01/15,"42,990,923","9,399,209,983",216.50,221.00,215.50,221.00
10,108/01/16,"30,038,282","6,563,789,758",218.50,220.00,217.50,217.50
11,108/01/17,"21,163,986","4,646,131,841",218.00,221.00,218.00,220.50
12,108/01/18,"52,677,569","11,530,053,787",219.00,220.00,217.50,218.50
13,108/01/21,"32,515,866","7,208,829,658",220.00,223.00,220.00,221.00
14,108/01/22,"30,958,483","6,854,867,566",220.00,223.00,219.00,223.00
15,108/01/23,"18,671,213","4,121,110,926",221.50,222.00,220.00,220.50
16,108/01/24,"31,348,924","6,958,753,608",222.50,222.50,220.50,222.50
17,108/01/25,"48,039,764","10,870,045,150",226.50,227.00,225.00,226.00
18,108/01/28,"29,134,257","6,665,379,096",229.50,229.50,228.00,229.00
19,108/01/29,"42,566,520","9,486,156,460",222.50,225.00,222.00,222.50
20,108/01/30,"51,889,945","11,453,957,730",220.50,221.50,220.00,221.00
0,108/02/11,"81,360,106","18,546,167,132",228.00,229.00,226.50,228.00
1,108/02/12,"30,125,670","6,921,488,930",230.00,230.00,229.00,230.00
2,108/02/13,"28,634,925","6,575,201,825",232.00,232.00,228.50,229.00
3,108/02/14,"23,647,751","5,392,943,977",229.50,230.00,226.00,227.00
4,108/02/15,"22,369,799","5,093,773,373",229.00,229.00,226.50,227.00
5,108/02/18,"18,163,916","4,169,729,625",229.00,230.50,228.50,230.00
6,108/02/19,"18,423,023","4,228,108,427",230.00,230.50,229.00,229.00
7,108/02/20,"31,887,710","7,430,197,670",231.50,234.50,231.00,234.50
8,108/02/21,"34,013,489","8,013,908,284",235.50,236.50,234.50,236.50
9,108/02/22,"22,032,163","5,187,054,985",235.50,236.50,234.00,236.50
10,108/02/25,"25,227,138","5,995,746,054",237.50,239.00,236.00,238.00
11,108/02/26,"24,586,789","5,864,298,571",239.00,240.00,236.50,239.50
12,108/02/27,"37,947,889","9,052,540,803",238.50,239.50,237.00,239.00
0,108/03/04,"45,164,513","10,691,130,829",239.50,239.50,234.50,235.50
1,108/03/05,"23,708,407","5,533,050,748",234.00,234.50,232.50,233.00
2,108/03/06,"20,811,226","4,872,352,124",235.00,235.50,233.50,234.00
3,108/03/07,"17,226,192","4,029,782,428",235.00,235.00,233.00,234.00
4,108/03/08,"22,535,659","5,183,171,608",231.00,231.50,229.00,230.00
5,108/03/11,"34,282,793","7,835,079,913",228.00,230.50,227.50,230.50
6,108/03/12,"23,839,972","5,601,351,324",233.00,237.00,232.50,235.50
7,108/03/13,"22,493,195","5,308,051,755",234.00,237.00,234.00,237.00
8,108/03/14,"17,281,356","4,077,045,380",239.00,239.00,234.00,234.50
9,108/03/15,"34,542,729","8,231,572,752",237.00,239.50,235.50,239.00
10,108/03/18,"27,040,532","6,493,129,050",239.50,241.00,239.00,241.00
11,108/03/19,"14,620,009","3,496,720,720",239.00,240.50,238.00,240.50
12,108/03/20,"23,055,971","5,563,557,011",242.00,242.00,239.50,242.00
13,108/03/21,"27,514,502","6,710,510,004",242.50,245.50,241.00,245.50
14,108/03/22,"22,996,467","5,680,726,299",248.00,248.50,244.50,248.50
15,108/03/25,"19,273,254","4,662,705,968",240.50,243.50,240.50,241.50
16,108/03/26,"21,053,170","5,109,273,236",243.00,244.00,241.00,244.00
17,108/03/27,"23,622,089","5,703,467,700",242.00,242.50,240.50,241.50
18,108/03/28,"13,998,054","3,379,510,718",240.50,242.50,240.00,242.00
19,108/03/29,"31,024,810","7,568,601,014",243.00,245.50,240.50,245.50
0,108/04/01,"35,330,656","8,758,161,220",251.00,251.00,245.00,245.50
1,108/04/02,"25,189,053","6,226,523,038",249.50,249.50,246.00,246.00
2,108/04/03,"28,581,323","7,075,597,562",249.00,249.00,246.50,246.50
3,108/04/08,"46,426,821","11,682,512,762",251.00,253.00,250.50,253.00
4,108/04/09,"22,745,674","5,760,337,782",253.00,254.00,252.00,254.00
5,108/04/10,"33,174,934","8,403,528,302",253.00,254.50,252.00,254.00
6,108/04/11,"25,146,840","6,347,861,680",253.00,254.00,251.50,252.00
7,108/04/12,"13,888,148","3,496,444,666",251.50,253.00,251.00,252.00
8,108/04/15,"17,257,002","4,403,988,510",255.00,256.00,254.00,255.50
9,108/04/16,"20,231,648","5,185,697,928",257.00,257.00,255.50,257.00
10,108/04/17,"39,037,191","10,202,504,410",260.00,263.00,259.50,261.50
11,108/04/18,"48,525,490","12,836,006,732",264.00,266.00,263.50,264.50
12,108/04/19,"47,698,699","12,712,409,558",269.00,269.50,263.50,264.50
13,108/04/22,"24,967,393","6,635,995,145",266.50,267.50,265.00,266.00
14,108/04/23,"26,251,847","7,017,363,629",266.50,268.00,266.00,268.00
15,108/04/24,"37,386,755","10,044,241,090",270.00,270.00,267.50,269.00
16,108/04/25,"36,572,455","9,800,038,536",268.50,269.00,267.00,267.50
17,108/04/26,"51,743,804","13,459,329,059",262.00,263.00,257.50,260.00
18,108/04/29,"32,651,618","8,477,117,257",260.00,262.00,258.50,259.50
19,108/04/30,"40,446,419","10,484,399,861",260.00,260.50,258.00,259.00
0,108/05/02,"27,376,394","7,122,135,656",261.50,262.50,258.50,259.00
1,108/05/03,"30,200,246","7,940,572,444",262.00,265.00,260.50,265.00
2,108/05/06,"33,688,187","8,717,053,470",260.00,260.00,258.00,259.00
3,108/05/07,"25,686,126","6,719,199,455",259.50,263.00,259.00,262.50
4,108/05/08,"25,902,364","6,750,083,504",260.00,261.50,259.50,260.00
5,108/05/09,"34,166,574","8,798,140,796",259.50,259.50,256.00,256.50
6,108/05/10,"18,868,212","4,844,594,484",257.00,259.00,255.00,256.00
7,108/05/13,"29,317,535","7,374,249,589",253.00,254.00,249.50,250.50
8,108/05/14,"45,620,708","11,345,067,455",247.50,251.00,245.00,248.50
9,108/05/15,"37,223,479","9,327,051,888",251.00,252.00,249.00,249.00
10,108/05/16,"30,331,519","7,520,908,612",248.50,249.50,246.00,247.00
11,108/05/17,"40,006,856","9,775,372,898",249.00,249.00,241.50,241.50
12,108/05/20,"47,097,661","11,303,513,908",242.50,243.00,238.00,238.00
13,108/05/21,"82,872,775","19,418,705,158",233.50,236.00,232.50,234.00
14,108/05/22,"36,289,034","8,669,172,710",236.50,240.50,235.50,238.00
15,108/05/23,"62,258,627","14,379,543,985",233.50,233.50,230.00,230.00
16,108/05/24,"38,226,789","8,866,253,632",230.00,234.00,230.00,233.00
